rating1,rating2,probability
1,1,0.013382072472981564
1,2,0.010616656071201526
1,3,0.014939605848696759
1,4,0.013223140495867768
1,5,0.006230133502860775
2,1,0.012619198982835346
2,2,0.024443738080101717
2,3,0.040686586141131596
2,4,0.03130959949141767
2,5,0.013064208518753973
3,1,0.01484424666242848
3,2,0.04148124602670057
3,3,0.09965034965034965
3,4,0.09240305149396058
3,5,0.03947870311506675
4,1,0.013127781309599492
4,2,0.03515575333757152
4,3,0.0945645263827082
4,4,0.1336300063572791
4,5,0.06513032422123331
5,1,0.006389065479974571
5,2,0.012142403051493961
5,3,0.038684043229497776
5,4,0.06859504132231405
5,5,0.06420851875397329
