user_id,previous rating,rating,rating delta,prev rating time,rating time,time delta,previous movie id,movie id,movie average
196,4,3,-1,881251021,881251045,24,306,340,3.7419354838709675
196,3,4,1,881251045,881251143,98,340,1022,3.727272727272727
196,4,3,-1,881251143,881251274,131,1022,251,3.8333333333333335
196,3,3,0,881251274,881251642,368,251,1241,2.6666666666666665
196,3,4,1,881251642,881251702,60,1241,428,3.744186046511628
196,4,3,-1,881251702,881251728,26,428,202,3.730337078651685
196,3,5,2,881251728,881251753,25,202,8,3.903225806451613
196,5,4,-1,881251753,881251793,40,8,111,3.5106382978723403
196,4,4,0,881251793,881251820,27,111,238,3.888888888888889
196,4,3,-1,881251820,881251842,22,238,70,3.5833333333333335
196,3,4,1,881251842,881251843,1,70,382,3.764705882352941
196,4,3,-1,881251843,881251884,41,382,287,3.4516129032258065
196,3,5,2,881251884,881251911,27,287,663,3.948717948717949
196,5,4,-1,881251911,881251954,43,663,845,3.661290322580645
196,4,3,-1,881251954,881251955,1,845,762,3.3962264150943398
196,3,5,2,881251955,881252017,62,762,67,3.106382978723404
196,5,2,-3,881252017,881252056,39,67,580,3.625
196,2,4,2,881252056,881252128,72,580,1118,3.533333333333333
196,4,3,-1,881252128,881252172,44,1118,94,2.8823529411764706
196,3,1,-2,881252172,881252305,133,94,110,2.25
186,5,4,-1,879022927,879023073,146,322,291,3.2
186,4,2,-2,879023073,879023074,1,291,121,3.521212121212121
186,2,4,2,879023074,879023115,41,121,100,4.0162162162162165
186,4,3,-1,879023115,879023152,37,100,983,2.5
186,3,2,-1,879023152,879023242,90,983,118,3.2764227642276422
186,2,3,1,879023242,879023273,31,118,977,2.473684210526316
186,3,4,1,879023273,879023390,117,977,281,3.2
186,4,3,-1,879023390,879023460,70,281,56,4.051724137931035
186,3,5,2,879023460,879023529,69,56,939,3.6333333333333333
186,5,4,-1,879023529,879023556,27,939,55,4.051282051282051
186,4,3,-1,879023556,879023571,15,55,263,2.2
186,3,1,-2,879023571,879023599,28,263,1083,2.3333333333333335
186,1,1,0,879023599,879023607,8,1083,250,3.4698795180722892
186,1,5,4,879023607,879023632,25,250,1042,3.625
186,5,5,0,879023632,879023643,11,1042,1016,3.559322033898305
186,5,5,0,879023643,879023663,20,1016,566,3.543859649122807
186,5,5,0,879023663,879023664,1,566,226,3.378787878787879
186,5,5,0,879023664,879023693,29,226,470,3.72
186,5,5,0,879023693,879023694,1,470,77,3.3857142857142857
186,5,5,0,879023694,879023723,29,77,159,3.3902439024390243
186,5,3,-2,879023723,879023751,28,159,1046,3.3529411764705883
186,3,2,-1,879023751,879023819,68,1046,770,3.25
186,2,3,1,879023819,879023882,63,770,1213,2.0
186,3,4,1,879023882,879023894,12,1213,385,3.6129032258064515
